LABEL	SRATE	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN
N238	0.001207	612824.6530124437	66869.99999999999	9	6131828.999999999	7	3234594.9999999995	11	35936284.99999999
N252	0.001368	348467.95903540705	104448.99999999997	7	5972412	5	3431590.9999999995	13	31534844.999999996
N267	0.003502	178709.93198113656	397747.99999999994	7	3826735.9999999995	5	5870565.999999999	15	10899506.999999998
N268	0.016328	311043.6875299801	1579622.9999999998	8	5406358.999999999	6	5472817.999999999	14	16305865.999999996
N269	0.005108	378569.45334687567	566052.9999999999	9	5972411.999999999	7	3893194.9999999995	13	22278277.999999996
Nyctiprogne_leucopyga	0.021055	540695.6409194844	2590915.9999999995	1	2590915.9999999995	1	9299553.999999998	10	2590915.9999999995
Antrostomus_carolinensis	0.025729	310198.92997728905	2192002.9999999995	1	2192002.9999999995	1	9299553.999999998	11	2192002.9999999995
Chordeiles_acutipennis	0.028806	310198.92997728905	2192002.9999999995	1	2192002.9999999995	1	9299553.999999998	11	2192002.9999999995
N196	0.003143	310198.92997728905	398912.99999999994	2	2590915.9999999995	2	7107550.999999999	10	4782918.999999999
Caprimulgidae	0.048335	540695.6409194844	3634135.9999999995	3	6225051.999999999	3	6708637.999999999	9	11007970.999999998
Steatornis_caripensis	0.078069	7119693.181003551	6052311.999999999	1	6052311.999999999	1	9299553.999999998	11	6052311.999999999
Nyctibius_bracteatus	0.020719	640690.0192812242	2163117.9999999995	1	2163117.9999999995	1	9299553.999999998	12	2163117.9999999995
Nyctibius_grandis	0.015967	640690.0192812242	2163117.9999999995	1	2163117.9999999995	1	9299553.999999998	12	2163117.9999999995
Nyctibiidae	0.034838	640690.0192812242	3889193.999999999	2	6052311.999999998	2	7136435.999999998	11	8215429.999999998
N202	0.000931	7119693.181003551	106778.99999999999	3	6159090.999999999	3	3247241.9999999995	10	14374520.999999996
Podargus_strigoides	0.080574	781761.1108453185	6069406.999999999	1	6069406.999999999	1	9299553.999999998	11	6069406.999999999
